"quarter","poil","yhat1","yhat2","yhat3"
"2019Q1",63.7568957902001,NA,NA,63.7568957902001
"2019Q2",68.3578465085639,NA,NA,63.7568957902001
"2019Q3",62.1237693707259,NA,NA,68.3575423536926
"2019Q4",62.5553842775582,NA,64.198473986762,62.1241814665156
"2020Q1",51.1789894598155,NA,61.0539974041659,62.5553557720506
"2020Q2",33.3771572871573,65.2133699259677,52.3088250988142,51.1797415168237
"2020Q3",43.4346329757199,53.3785970653743,47.6365410000627,33.3783341619049
"2020Q4",45.3445915678524,57.8831001788067,43.3338428226363,43.4339681843629
"2021Q1",61.1277829537612,46.8762912823891,45.8210411961227,45.3444652623463
"2021Q2",69.1399278499279,35.8643556606437,54.7617338368154,61.1267395665886
"2021Q3",73.2469696969697,52.3753256164126,62.2148180171278,69.1393981223997
"2021Q4",79.8113178367526,52.7976757481649,70.8314995843528,73.2466981578943
"2022Q1",97.443126984127,69.7444645209862,79.9103355919443,79.8108838696932
"2022Q2",111.987359307359,78.2187638575193,90.6221934563021,97.4419613701129
"2022Q3",97.8346941464333,83.9588275613275,96.769124568668,111.9863977553
"2022Q4",88.7201298701299,85.9582489491185,98.9963275770124,97.8356296725568
"2023Q1",82.3236133069829,99.6703299924713,95.2164491577263,88.720732468123
"2023Q2",78.0861304347826,108.207480888073,86.7411419395821,82.324036201092
"2023Q3",85.983547273982,89.3593869282891,83.7783552214693,78.0864105898553
"2023Q4",82.8916810966811,85.7573431520171,82.3212430281071,85.9830252182725
"2024Q1",81.9557142857143,80.8665011136207,82.22926827279,82.8918854560475
"2024Q2",84.9819861660079,77.9941556794655,83.9532322055963,81.9557761731457
"2024Q3",78.7083170211431,87.7075112067884,82.1344246423866,84.9817861124609
"2024Q4",74.0009401468097,81.0728735334714,79.9117394049188,78.7087317411219
"2025Q1",75.0427805383023,79.7330290482465,78.1835059680658,74.0012513646067
"2025Q2",66.9555555555556,83.2537527291549,73.6768983154527,75.0427116859735
"2025Q3",68.1393864106908,74.20170936853,71.0346656628396,66.9560901728733
"2025Q4",63.1619044795784,71.3587074941966,68.3249067460318,68.1393081865721
"2026Q1",77.8028636363636,72.3330216214945,69.0149275205471,63.1622335206129
"2026Q2",97.0479148629149,67.6455763300709,76.5380173473869,77.8018957887944
