quarter,poil,yhat1,yhat2,yhat3
2019Q1,63.75689579020013,,,63.756895822243024
2019Q2,68.3578465085639,,,63.75689579020013
2019Q3,62.1237693707259,,,68.3578464400044
2019Q4,62.5553842775582,,64.19847398676202,62.12376946362089
2020Q1,51.17898945981553,,61.053997404165884,62.555384271126634
2020Q2,33.3771572871573,65.21336992596774,52.30882509881423,51.178989629337025
2020Q3,43.43463297571993,53.37859706537425,47.63654100006274,33.377157552425274
2020Q4,45.34459156785243,57.8831001788067,43.3338428226363,43.43463282585187
2021Q1,61.1277829537612,46.87629128238909,45.821041196122714,45.34459153939183
2021Q2,69.13992784992787,35.86435566064372,54.76173383681535,61.12778271857332
2021Q3,73.24696969696967,52.37532561641257,62.2148180171278,69.13992773053761
2021Q4,79.8113178367526,52.79767574816487,70.83149958435283,73.24696963576999
2022Q1,97.443126984127,69.74446452098624,79.91033559194429,79.81131773893618
2022Q2,111.9873593073593,78.21876385751932,90.62219345630214,97.44312672139257
2022Q3,97.83469414643328,83.95882756132752,96.76912456866805,111.98735909063335
2022Q4,88.72012987012987,85.9582489491185,98.99632757701237,97.83469435732442
2023Q1,82.32361330698286,99.67032999247132,95.21644915772632,88.72013000594745
2023Q2,78.0861304347826,108.20748088807326,86.74114193958215,82.32361340229839
2023Q3,85.98354727398203,89.3593869282891,83.77835522146934,78.08613049792602
2023Q4,82.8916810966811,85.75734315201706,82.32124302810715,85.98354715630134
2024Q1,81.9557142857143,80.86650111362067,82.22926827279001,82.8916811427535
2024Q2,84.9819861660079,77.99415567946546,83.95323220559632,81.95571429966128
2024Q3,78.70831702114313,87.70751120678835,82.1344246423866,84.98198612091294
2024Q4,74.00094014680973,81.07287353347138,79.91173940491876,78.70831711462809
2025Q1,75.0427805383023,79.73302904824645,78.18350596806576,74.0009402169551
2025Q2,66.95555555555558,83.2537527291549,73.67689831545269,75.04278052277766
2025Q3,68.13938641069078,74.20170936853005,71.03466566283959,66.95555567606462
2025Q4,63.1619044795784,71.35870749419664,68.32490674603176,68.13938639305033
2026Q1,77.80286363636363,72.33302162149447,69.0149275205471,63.16190455374866
2026Q2,97.04791486291488,67.64557633007091,76.53801734738693,77.80286341819632
