Model,ME,MPE,MAE,MAPE,MSE,RMSE,Theil_U
Mô hình Thô (Naive),2.2847850495639643,-1.1950554778474116,15.032541322855886,21.71810790699658,341.9154395363228,18.49095561447063,1.8563476495248583
Trung bình trượt MA(4),1.1395136983476364,-0.530706760319262,8.10296030032322,11.763012207543511,106.53322170582341,10.321493191676455,1.049771332342381
San bằng mũ đơn SES,1.147966182138482,0.30801301201756626,7.864319229420271,11.528561878985927,92.07400261835174,9.595519924337177,1.0000000041098065
